,Cluster,Nmembs
765,NGC_6716,365
766,NGC_6728,297
767,NGC_6735,186
768,NGC_6755,267
769,NGC_6756,21
770,NGC_6793,585
771,NGC_6800,178
772,NGC_6802,88
773,NGC_6811,534
774,NGC_6819,441
775,NGC_6823,165
776,NGC_6827,23
777,NGC_6830,186
778,NGC_6834,155
779,NGC_6866,261
780,NGC_6871,1068
781,NGC_6910,226
782,NGC_6939,430
783,NGC_6940,571
784,NGC_6997,341
785,NGC_7024,156
786,NGC_7031,258
787,NGC_7039,453
788,NGC_7044,117
789,NGC_7058,378
790,NGC_7062,109
791,NGC_7063,422
792,NGC_7067,82
793,NGC_7082,517
794,NGC_7086,423
795,NGC_7092,955
796,NGC_7128,68
797,NGC_7129,97
798,NGC_7142,271
799,NGC_7160,251
800,NGC_7209,554
801,NGC_7226,24
802,NGC_7235,154
803,NGC_7243,706
804,NGC_7245,235
805,NGC_7261,97
806,NGC_7281,168
807,NGC_7296,156
808,NGC_7380,167
809,NGC_7419,63
810,NGC_7423,94
811,NGC_743,225
812,NGC_744,209
813,NGC_7510,168
814,NGC_752,923
815,NGC_7654,716
816,NGC_7762,434
817,NGC_7788,162
818,NGC_7789,686
819,NGC_7790,188
820,NGC_869,415
821,NGC_884,400
822,NGC_886,17
823,NGC_957,255
824,Negueruela_1,30
825,Patchick_3,72
826,Patchick_75,18
827,Pfleiderer_3,24
828,Pismis_1,18
829,Pismis_11,13
830,Pismis_12,163
831,Pismis_15,117
832,Pismis_17,78
833,Pismis_18,84
834,Pismis_19,71
835,Pismis_2,44
836,Pismis_20,84
837,Pismis_21,62
838,Pismis_22,12
839,Pismis_27,34
840,Pismis_3,384
841,Pismis_4,551
842,Pismis_5,330
843,Pismis_7,73
844,Pismis_8,100
845,Pismis_Moreno_1,138
846,Platais_10,472
847,Platais_3,849
848,Platais_8,1457
849,Platais_9,1163
850,Pozzo_1,23
851,RSG_8,6
852,Riddle_4,40
853,Roslund_2,224
854,Roslund_3,249
855,Roslund_4,82
856,Roslund_5,893
857,Roslund_6,1104
858,Roslund_7,354
859,Ruprecht_1,303
860,Ruprecht_10,76
861,Ruprecht_100,68
862,Ruprecht_101,233
863,Ruprecht_102,34
864,Ruprecht_105,143
865,Ruprecht_107,45
866,Ruprecht_108,162
867,Ruprecht_111,244
868,Ruprecht_112,276
869,Ruprecht_115,76
870,Ruprecht_117,87
871,Ruprecht_119,172
872,Ruprecht_121,264
873,Ruprecht_126,21
874,Ruprecht_127,62
875,Ruprecht_128,95
876,Ruprecht_130,14
877,Ruprecht_134,79
878,Ruprecht_135,96
879,Ruprecht_138,46
880,Ruprecht_143,48
881,Ruprecht_144,140
882,Ruprecht_145,604
883,Ruprecht_147,834
884,Ruprecht_148,25
885,Ruprecht_151,224
886,Ruprecht_16,115
887,Ruprecht_161,460
888,Ruprecht_164,103
889,Ruprecht_167,265
890,Ruprecht_170,102
891,Ruprecht_171,357
892,Ruprecht_172,66
893,Ruprecht_174,118
